isinboris;organization;course;role;isbsc;ismsc;isg;isphd;period;ects;state
1;unibz;Software as a Research Contribution\footnote{Taught together with Eduardo Guerra};L;;;;1;'24/25;3;2
1;unibz;Operating Systems and Networking;L;1;;;;'24/25--25/26;6;2
1;unibz;Tools and Techniques for Software Testing;TA;1;;;;'23/24;6;2
1;unibz;Contemporary Software Development\footnote{as external lecturer in 2022/23 and 2023/24};L;;1;;;'19/20--'25/26;6;2
1;unibz;Software Quality and Metrics\footnote{as external lecturer in 2023/24};L;;1;;;'23/24;6;2
1;fhv;Software Engineering\footnote{In English: \textit{Software engineering}};L;1;;;;'23/24;8;2
1;fhv;Fachgespräche zum Software Engineering\footnote{In English: \textit{Expert discussions on software engineering}};L;;1;;;'23/24;4;2
1;fhv;Grundlagen der Wirtschaftsinformatik\footnote{In English: \textit{Fundamentals of business informatics}. Taught together with Markus Federau, Maria Muthenthaler, Chiara Redini, Gunther Rothfuss, \& Heidi Weber.};L;;1;;;'23/24;9;2
1;fhv;Softwareprozesse und -qualität\footnote{In English: \textit{Software processes and quality}};L;1;;;;'23/24;4;2
1;fhv;Refactoring und Migration\footnote{In English: \textit{Refactoring and Migration}};L;1;;;;'23/24--25/26;4;2
1;uibk\footnote{University of Innsbruck, Innsbruck, Austria};Methods of Software Quality Assurance;L;1;;;;'22/23;3;2
1;fhv;System architectures;L;1;;;;'22/23;5;2
1;fhv;Enterprise Applikationen\footnote{In English: \textit{Enterprise applications}};C;1;;;;'22/23;10;2
1;fhv;Softwareprozesse\footnote{In English: \textit{Software processes}};L;;1;;;'22/23;5;2
1;fhv;Architekturen und Sicherheit in verteilten Systemen\footnote{In English: \textit{Architectures and security in distributed systems}, taught together with Armin Simma};L;;1;;;'22/23;3;2
1;fhv;Parallelization and Concurrent Programming\footnote{as external lecturer in 2024};L;;1;;;'22/23--'24/25;4;2
1;unibz;Software Development: from the idea to the product\footnote{Taught as a course in the \textit{Studium Generale}, an interdisciplinary study programme available to the general public. See \url{https://www.unibz.it/en/faculties/further-courses/studium-generale/}.};L;;;1;;'20/21;3;2
1;unibz;Application Engineering for Business Informatics;L;1;;;;'19/20--'21/22;6;2
1;unibz;Systems Engineering;L;1;;;;'19/20;6;2
1;unibz;Internet and Mobile Services\footnote{Taught together with Panagiotis Symeonidis};L;1;;;;'18/19;6;2
1;unibz;Project Management and Professional Ethics\footnote{Taught together with Christian Mörtl};L;1;;;;'18/19;3;2
1;unibz;Software Factory;L;;1;;;'17/18, '18/19;8;2
1;unibz;Software Process Management;L;;1;;;'14/15--'16/17;8;2
1;unibz;Architectures of Digital Systems;L;1;;;;'11/12, '12/13, '14/15--'16/17;8;2
1;unibz;Project and Team work management;L;1;;;;'14/15;3;2
1;unibz;Empirical Software Measurement;TA;;1;;;'11/12;8;2
1;unibz;Introduction to Management Engineering;TA;1;;;;'10/11;4;2
1;unibz;Open Tools for IT Management;TA;1;;;;'10/11;4;2
1;unibz;Computer Networks;TA;1;;;;'09/10, '10/11;4;2
1;unibz;Requirements and Design of Software Systems;L;;1;;;'09/10, '10/11, '13/14;8;2
1;unibz;Technology Assessment;TA;1;;;;'09/10, '10/11;4;2
1;unibz;Analysis;TA;1;;;;'09/10;4;2
1;unibz;Software Quality Management;L;;1;;;'07/08;4;2
1;unibz;Programming Languages;TA;1;;;;'07/08;4;2
1;unibz;Software Architectures;TA;;1;;;'06/07, '07/08;4;2
1;unibz;Internet Technologies II;TA;1;;;;'06/07, '07/08;4;2
1;unibz;Requirements Engineering;L;;1;;;'05/06;4;2
1;unibz;Laboratorio di tecnologie informatiche\footnote{In English: \textit{Information technology laboratory}};L;;1;;;'05/06, '06/07;4;2
1;unibz;Software per la didattica dell'informatica\footnote{In English: \textit{Software for teaching computer science}};L;;1;;;'05/06, '06/07;4;2
1;unibz;Didattica dell'Informatica I\footnote{In English: \textit{Didactics of computer science I}};L;;1;;;'06/07;4;2
1;unibz;Software Engineering Project;TA;1;;;;'04/05, '05/06;8;2
1;unibz;Programming Project;TA;1;;;;'02/03, '03/04;8;2
1;unibz;Algorithms \& Complexity;TA;1;;;;'02/03;4;2
