startofevent;endofevent;event;role;acronym;yearofevent;website
4.12.11;6.12.11;2011 Alpine Software Engineering Workshop, Corvara, Italy;Organizing committee member;ASEW;11;
2.12.12;4.12.12;2012 Alpine Software Engineering Workshop, Ortisei, Italy;Organizing committee member;ASEW;12;
6.5.14;9.5.14;10th International Conference on Open Source Systems, San Jose, Costa Rica;PC member \& PhD Symposium \ul{chair};OSS;14;
22.9.14;23.9.14;3rd International Conference on Software Engineering for Defence Applications, Rome, Italy;PC member \& Program \ul{chair};SEDA;14;
25.5.15;29.5.15;16th International Conference on Agile Software Development, Helsinki, Finland;PC member (Estimations in the 21st Century Software Engineering);XP;15;
26.8.15;28.8.15;41st Euromicro Conference on Software Engineering and Advanced Applications, Funchal, Madeira, Portugal;PC member (Software Value Management);SEAA;15;
28.4.16;29.4.16;1st Joint Seminar in Empirical Software Engineering at the Free University of Bozen-Bolzano;Organizer;JESE;16;
6.12.16;6.12.16;2016 Alpine Software Engineering Workshop: Random-Based Testing, Bolzano, Italy;Organizer;ASEW;16;
22.4.17;26.4.17;1st International Workshop on Monitoring in Large-Scale Software Systems, L'Aquila, Italy (co-located with the 8th ACM/SPEC International Conference on Performance Engineering);PC member;MOLS;17;
18.5.17;19.5.17;2nd Joint Seminar in Empirical Software Engineering at the University of Innsbruck;Co-organizer;JESE;17;
21.5.17;26.5.17;1st International Workshop on Microservices for Agile Software Development, Cologne, Germany (co-located with the 18th International Conference on Agile Processes in Software Engineering and Extreme Programming);Co-organizer;WMSA;17;
6.7.17;6.7.17;8th Workshop on Computer Science Research meets Business, Bolzano, Italy: Data Science, How to Create added Value from Data;Organizing committee member;;17;
3.9.17;6.9.17;1st International Conference on Lean and Agile Software Development, Prague, Czech Republic;PC member;LASD;17;
4.9.17;7.9.17;2017 Summer School on Software Engineering, Bolzano, Italy;Organizing committee member;SESchool;17;
21.9.17;23.9.17;3rd Joint Ontology Workshops, Episode 3: The Tyrolean Autumn of Ontology, Bozen-Bolzano, Italy;Track co-\ul{chair} (Data meets Applied Ontologies);JOWO;17;
29.11.17;1.12.17;18th International Conference on Product-Focused Software Process Improvement, Innsbruck, Austria;PC member (Full Papers) \& Session \ul{chair};PROFES;17;
21.5.18;25.5.18;19th International Conference on Agile Softwaren Development, Porto, Portugal;PC member (Research Papers);XP;18;
28.8.18;31.8.18;44th Euromicro Conference on Software Engineering and Adv. Applications, Prague, Czech Republic;PC member (Monitoring Large-Scale Software Systems);SEAA;18;
9.9.18;12.9.18;2nd International Conference on Lean and Agile Software Development, Poznań, Poland;PC member;LASD;18;
9.9.18;12.9.18;2018 Summer School on Software Engineering, Bolzano, Italy;Organizing committee member;SESchool;18;
23.9.18;29.9.18;34th International Conference on Software Maintenance and Evolution, Madrid, Spain;PC member (Artifacts);ICSME;18;
28.11.18;30.11.18;19th International Conference on Product-Focused Software Process Improvement, Wolfsburg, Germany;PC member (Full Research and Industry Papers);PROFES;18;
21.5.19;25.5.19;20th International Conference on Agile Software Development, Montréal, Canada;PC member (Research Paper);XP;19;
8.7.19;10.7.19;12th Seminar on Advanced Techniques \& Tools for Software Evolution, Bolzano, Italy;PC member, Hackaton \ul{chair} \& Session \ul{chair};SATToSE;19;
1.9.19;4.9.19;3rd International Conference on Lean and Agile Software Development, Leipzig University, Leipzig, Germany;PC member;LASD;19;
10.9.19;12.9.19;2019 Summer School on Software Engineering, Bolzano, Italy;Organizing committee member;SESchool;19;
11.9.19;13.9.19;12th International Conference on the Quality of Information and Communications Tech., Ciudad Real, Spain;PC member (Quality Aspects in Software Maintenance and Comprehension);QUATIC;19;
30.9.19;4.10.19;35th IEEE International Conference on Software Maintenance and Evolution, Cleveland, Ohio, USA;PC member (Short Papers);ICSME;19;
27.11.19;29.11.19;20th International Conference on Product-Focused Software Process Improvement, Barcelona, Catalunya, Spain;PC member (Full Research and Industry Papers);PROFES;19;
15.1.20;3.6.20;Reality Check: IT students meet companies, a bi-monthly event, organized together with the NOI Technology park in Bolzano, open to all bachelor, master, and PhD students, to allow companies to present themselves to students and to help students to get to know the local IT landscape, Bolzano, Italy;Organizer;;20;
8.6.20;12.6.20;21st International Conference on Agile Software Development, Copenhagen, Denmark;PC member (On-site Research);XP;20;
1.7.20;3.7.20;6th International School on Software Engineering, Bolzano, Italy;Organizing committee member;ISESchool;20;
26.8.20;27.8.20;16th International Symposium on Open Collaboration, Madrid, Spain;PC member (OpenSym 2020 New Ideas and Emerging Research);OpenSym;20;
6.9.20;9.9.20;4th International Conference on Lean and Agile Software Development, Sofia, Bulgaria;PC member;LASD;20;
8.9.20;11.9.20;13th International Conference on the Quality of Information and Communications Technology, online;PC member (Human and Artificial Intelligences for Software Evolution);QUATIC;20;
