starred;authors;titleofpublication;typeofcontribution;conference;acronym;location;yearofpublication;dates;doiorwebaddress;presented;isse;issec;isai;report
0;Andrea Janes, Barbara Russo, \& Giancarlo Succi;Use of Pair Programming for Experience Exchange in a Distributed Internship Project;Workshop paper;17th ACM SIGPLAN conference on Object-oriented programming, systems, languages, and applications: Workshop on Pair Programming Explored;OOPSLA;Seattle, MA, USA;2002;November 05;;1;1;;;0
0;Andrea Janes;Measuring the Effectiveness of Agile Methodologies Using Data Mining, Knowledge Discovery and Information Visualization;Conference paper;4th International Conference on Extreme Programming and Agile Processes in Software Engineering;XP;Genova, Italy;2003;May 25--29;https://doi.org/10.1007/3-540-44870-5_79;1;1;;1;0
0;Alberto Sillitti, Andrea Janes, Giancarlo Succi, \& Tullio Vernazza;Non-invasive Measurement of the Software Development Process;Workshop paper;1st International Workshop on Remote Analysis and Measurement of Software Systems;RAMS;Portland, OR, USA;2003;May 9;;0;1;;;0
0;Alberto Sillitti, Andrea Janes, Tullio Vernazza, \& Giancarlo Succi;Measures for Mobile Users;Conference paper;International Conference on Software Engineering Research and Practice;SERP;Las Vegas, NV, USA;2003;June 23--26;;0;1;;;0
0;Alberto Sillitti, Andrea Janes, Giancarlo Succi, \& Tullio Vernazza;Collecting, Integrating and Analyzing Software Metrics and Personal Software Process Data;Conference paper;29th Euromicro Conference;EUROMICRO;Belek-Antalya, Turkey;2003;September 1--6;https://doi.org/10.1109/EURMIC.2003.1231611;0;1;;;0
0;Andrea Janes, Barbara Russo, Paolo Zuliani, \& Giancarlo Succi;An Empirical Analysis on the Discontinuous Use of Pair Programming;Conference paper;4th International Conference on Extreme Programming and Agile Processes in Software Engineering;XP;Genova, Italy;2003;May 25--29;https://doi.org/10.1007/3-540-44870-5_26;1;1;;;0
0;Michela Dall'Agnol, Andrea Janes, Giancarlo Succi, \& Enrico Zaninotto;Lean Management -- A Metaphor for Extreme Programming?;Conference paper;4th International Conference on Extreme Programming and Agile Processes in Software Engineering;XP;Genova, Italy;2003;May 25--29;https://doi.org/10.1007/3-540-44870-5_4;1;1;;;0
0;Andrea Janes;Providing decision-making support using non-invasive business process metrics collection;Workshop paper;Alpine Software Engineering Workshop;ASEW;Heiligenblut, Austria;2004;April 1--3;;1;1;;;0
0;Alberto Sillitti, Andrea Janes, Giancarlo Succi, \& Tullio Vernazza;Monitoring the Development Process with Eclipse;Conference paper;2004 International Conference on Information Technology: Coding and Computing;ITCC;Las Vegas, NV, USA;2004;April 5--7;https://doi.org/10.1109/ITCC.2004.1286609;0;1;;;0
0;Alberto Sillitti, Andrea Janes, Giancarlo Succi, \& Tullio Vernazza;Measuring the Architecture Design Process;Conference paper;2004 International Conference on Software Engineering Research and Practice;SERP;Las Vegas, NV, USA;2004;June 21--24;;0;1;;;0
0;Andrea Janes, Barbara Russo, \& Giancarlo Succi;Using non-invasive measurement techniques in agile software development: a SWOT analysis;Conference paper;XLII Congresso Annuale AICA;AICA;Benevento, Italy;2004;September 28--30;;1;1;;;0
0;Raimund Moser, Andrea Janes, Barbara Russo, Alberto Sillitti, \& Giancarlo Succi;Prom: Taking an echography of your software process;Conference paper;XLIII Congresso Annuale AICA;AICA;Udine, Italy;2005;October 5--7;;1;1;;;0
0;Andrea Janes, Marco Scotto, Alberto Sillitti, \& Giancarlo Succi;A Perspective on Non Invasive Software Management;Conference paper;2006 IEEE Instrumentation and Measurement Technology Conference;IMTC;Sorrento, Italy;2006;April 24--27;https://doi.org/10.1109/IMTC.2006.328379;1;1;;;0
0;Andrea Janes \& Giancarlo Succi;Non-invasive software process data collection for expert identification;Conference paper;2008 International Conference on Software Engineering and Knowledge;SEKE;Redwood City, CA, USA;2008;July 1--3;;1;1;;;0
0;Emanuele Danovaro, Andrea Janes, \& Giancarlo Succi;Jidoka in Software Development;Conference paper;23rd Annual ACM SIGPLAN Conference on Object-Oriented Programming, Systems, Languages, and Applications;OOPSLA;Nashville, TN, USA;2008;October 19--23;https://doi.org/10.1145/1449814.1449874;1;1;;;0
0;Andrea Janes \& Giancarlo Succi;To pull or not to pull;Conference paper;24rd Annual ACM SIGPLAN Conference on Object-Oriented Programming, Systems, Languages, and Applications;OOPSLA;Orlando, Florida, USA;2009;October 25--29;https://doi.org/10.1145/1639950.1640052;1;1;;;0
0;Saulius Astromskis \& Andrea Janes;Towards a GQM model for IS development process selection;Conference paper;16-toji tarpuniversitetine magistrantu ir doktorantu konferencija;MAG\&DOKIT;Kaunas, Lithuania;2011;Apr 22;;0;1;;1;0
0;Daniel Hanspeter, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;Improving the identification of traceability links between source code and requirements;Conference paper;18th International Conference on Distributed Multimedia Systems;DMS;Miami Beach, FL, USA;2012;August 9--11;;0;1;;1;0
0;Saulius Masteika, Aleksandras V. Ruthkauskas, \& Andrea Janes;Continuous futures data series for back testing and technical analysis;Conference paper;3rd International Conference on Financial Theory and Engineering;CEBMM;Singapore;2012;February 26--28;http://www.ipedr.com/vol29/48-CEBMM2012-R00003.pdf;0;;;;0
0;Rosella Gennari, Gabriella Dodero, \& Andrea Janes;Junior University Workshops for Children;Workshop paper;3rd International Workshop Teaching Robotics, Teaching with Robotics Integrating Robotics in School Curriculum;TRTR;Riva del Garda, Italy;2012;Apr 20;;0;;;;0
0;Saulius Astromskis, Andrea Janes, \& Alireza Rezaei Mahdiraji;Egidio: A Non-Invasive Approach for Synthesizing Organizational Models;Tool demonstration;34th International Conference on Software Engineering;ICSE;Zürich, Switzerland;2012;June 2--9;https://doi.org/10.1109/ICSE.2012.6227062;0;1;;;0
0;Luis Corral, Andrea Janes, Tadas Remencius, Juri Strumpflohner, \& Jelena Vlasenko;A Novel Application of Open Source Technologies to Measure Agile Software Development Process;Conference paper;8th IFIP WG 2.13 International Conference on Open Source Systems;OSS;Hammamet, Tunisia;2012;September 10--13;https://doi.org/10.1007/978-3-642-33442-9\_28;0;1;;;0
0;Danila Piatov, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;Using the Eclipse C/C++ Development Tooling as a Robust, Fully Functional, Actively Maintained, Open Source C++ Parser;Conference paper;8th IFIP WG 2.13 International Conference on Open Source Systems;OSS;Hammamet, Tunisia;2012;September 10--13;https://doi.org/10.1007/978-3-642-33442-9\_45;0;1;;;0
0;Daniel Hanspeter, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;Semi-automatic requirement tracing in modified code: An Eclipse Plugin;Tool demonstration;18th International Conference on Distributed Multimedia Systems;DMS;Miami Beach, FL, USA;2012;August 9--11;;0;1;;1;0
0;Luis Corral, Andrea Janes, \& Tadas Remencius;Potential advantages and disadvantages of multiplatform development frameworks – A vision on mobile environments;Workshop paper;International Workshop on Service Discovery and Composition in Ubiquitous and Pervasive Environments;SUPE;Niagara Falls, Ontario, Canada;2012;August 27--29;;0;1;;;0
0;Andrea Janes \& Giancarlo Succi;The Dark Side of Agile Software Development;Conference paper;ACM international symposium on New ideas, new paradigms, and reflections on programming and software;SPLASH;Tucson, AZ, USA;2012;October 19--26;https://doi.org/10.1145/2384592.2384612;1;1;;;0
0;Ilenia Fronza, Andrea Janes, Alberto Sillitti, Giancarlo Succi, \& Stefano Trebeschi;Cooperation wordle using pre-attentive processing techniques;Workshop paper;International Workshop on Cooperative and Human Aspects of Software Engineering;CHASE;San Francisco, CA, USA;2013;May 25;https://doi.org/10.1109/CHASE.2013.6614732;1;1;;1;0
0;Saulius Astromskis, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;Supporting CMMI assessment using distributed, non-invasive measurement and process mining;Conference paper;19th International Conference on Distributed Multimedia Systems;DMS;Brighton, UK;2013;August 8--10;;1;1;;1;0
0;Marko Gasparic, Andrea Janes, Marjan Hericko, \& Giancarlo Succi;Metrics based recommendation system for software engineering;Conference paper;Information Society multiconference on Collaboration, Software and Services in Information Society;CSS;Ljubljana, Slovenia;2013;October 7--11;;0;1;;1;0
0;Saulius Astromskis, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;Andon for dentists;Conference paper;25th International Conference on Software Engineering and Knowledge Engineering;SEKE;Boston, MA, USA;2013;June 27--29;;1;1;;;0
0;Andrea Janes, Danila Piatov, Alberto Sillitti, \& Giancarlo Succi;How to calculate software metrics for multiple languages using Open Source parsers;Conference paper;9th IFIP WG 2.13 International Conference on Open Source Software;OSS;Koper-Capodistria, Slovenia;2013;June 25--28;https://doi.org/10.1007/978-3-642-38928-3\_20;0;1;;;0
0;Andrea Janes, Sarunas Marciuska, Alessandro Sarcià, \& Giancarlo Succi;Domain Analysis in Combination with Extreme Programming to Address Requirements Volatility Problems;Conference paper;International Conference on Software Engineering and Knowledge Engineering;SEKE;Boston, MA, USA;2013;June 27--29;;1;1;;;0
0;Andrea Janes \& Giancarlo Succi;The Dark Side of Agile Software Development, First results;Conference paper;Anwenderkonferenz für Softwarequalität, Test und Innovation;ASQT;Graz, Austria;2013;September 19--20;;1;1;;;0
0;Ilenia Fronza, Nabil El Ioini, Andrea Janes, Alberto Sillitti, Giancarlo Succi, \& Luis Ricardo Corral Velazquez;Se dovessi dare un voto a questo laboratorio, darei nove -- Introduzione del Computational Thinking nella scuola secondaria di primo grado: risultati dell'esperienza;Conference paper;28th edition of DIDAttica inforMATICA, Nuovi processi e paradigmi per la didattica;DIDAMATICA;Napoli, Italy;2014;May 7--9;;0;;;;0
