starred;authors;titleofpublication;titlejournal;volume;issueornumber;pages;yearofpublication;doiorwebaddress
0;Alberto Sillitti, Andrea Janes, Giancarlo Succi, \& Tullio Vernazza;Measures for Mobile Users: an Architecture;Journal of System Architecture: the EUROMICRO Journal;50;7;365--444;2004;https://doi.org/10.1016/j.sysarc.2003.09.005
0;Andrea Janes, Marco Scotto, Witold Pedrycz, Barbara Russo, Milorad Stefanovic, \& Giancarlo Succi;Identification of defect-prone classes in telecommunication software systems using design metrics;Information Sciences;176;24;3711--3734;2006;https://doi.org/10.1016/j.ins.2005.12.002
0;Luis Corral, Andrea Janes, \& Tadas Remencius;Potential advantages and disadvantages of multiplatform development frameworks -- a vision on mobile environments;Procedia Computer Science;10;;1202--1207;2012;https://doi.org/10.1016/j.procs.2012.06.173
0;Andrea Janes, Tadas Remencius, Alberto Sillitti, \& Giancarlo Succi;Managing changes in requirements: an empirical investigation;Journal of Software: Evolution and Process;25;12;1273--1283;2013;https://doi.org/10.1002/smr.1602
0;Saulius Astromskis, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;Continuous CMMI Assessment using Non-invasive Measurement and Process Mining;International Journal of Software Engineering and Knowledge Engineering;24;9;1255--1272;2014;https://doi.org/10.1142/S0218194014400117
0;Ilenia Fronza, Nabil El Ioini, Andrea Janes, Alberto Sillitti, Giancarlo Succi, \& Luis Ricardo Corral Velazquez;``Se dovessi dare un voto a questo laboratorio, darei nove'': Introduzione del Computational Thinking nella scuola secondaria di primo grado: risultati dell'esperienza;Mondo Digitale: rassegna critica del settore ICT;13;51;757--765;2014;https://mondodigitale.aicanet.net/2014-3/03\_Computational\_Thinking/03\_14.pdf
2;Marko Gasparic \& Andrea Janes;What recommendation system recommend: A systematic literature review;Journal of Systems and Software;113;;101--113;2016;https://doi.org/10.1016/j.jss.2015.11.036
1;Saulius Astromskis, Gabriele Bavota, Andrea Janes, Barbara Russo, \& Massimiliano Di Penta;Patterns of developers behaviour: A 1000-hour industrial study;Journal of Systems and Software;132;;85--97;2017;https://doi.org/10.1016/j.jss.2017.06.072
2;Marko Gasparic, Andrea Janes, Francesco Ricci, Gail C. Murphy, \& Tural Gurbanov;A graphical user interface for presenting integrated development environment command recommendations: Design, evaluation, \& implementation;Information \& Software Technology;92;;236--255;2017;https://doi.org/10.1016/j.infsof.2017.08.006
1;Davide Taibi, Andrea Janes, \& Valentina Lenarduzzi;How developers perceive smells in source code: A replicated study;Information \& Software Technology;92;;223--235;2017;https://doi.org/10.1016/j.infsof.2017.08.008
2;Alberto Avritzer, Vincenzo Ferme, Andrea Janes, Barbara Russo, André van Hoorn, Henning Schulz, Daniel S. Menasché, \& Vilc Queupe Rufino;Scalability Assessment of Microservice Architecture Deployment Configurations: A Domain-based Approach Leveraging Operational Profiles and Load Tests;Journal of Systems and Software;165;;110564;2020;https://doi.org/10.1016/j.jss.2020.110564
1;Vilc Queupe Rufino, Mateus Schulz Nogueira, Alberto Avritzer, Daniel Sadoc Menasché, Barbara Russo, Andrea Janes, Vincenzo Ferme, André van Hoorn, Henning Schulz, \& Cabral Lima;Improving Predictability of User-Affecting Metrics to Support Anomaly Detection in Cloud Services;IEEE Access;8;;198152--198167;2020;https://doi.org/10.1109/ACCESS.2020.3028571
1;Matteo Camilli, Andrea Janes, \& Barbara Russo;Automated test-based learning and verification of performance models for microservices systems;Journal of Systems and Software;187;;111225;2022;https://doi.org/10.1016/j.jss.2022.111225
2;Alberto Avritzer, Ricardo Britto, Catia Trubiani, Matteo Camilli, Andrea Janes, Barbara Russo, André van Hoorn, Robert Heinrich, Martina Rapp, Jörg Henß, \& Ram Kishan Chalawadi;Scalability testing automation using multivariate characterization and detection of software performance antipatterns;Journal of Systems and Software;193;;111446;2022;https://doi.org/10.1016/j.jss.2022.111446
0;Stefano Savian, Mehdi Elahi, Andrea Janes, \& Tammam Tillo;Benchmarking Equivariance for Deep Learning Based Optical Flow Estimators;Signal Processing: Image Communication;111;;116892;2023;https://doi.org/10.1016/j.image.2022.116892
0;Samuel Runggaldier, Gabriele Sottocornola, Andrea Janes, Fabio Stella, Markus Zanker;Booker Prediction from Requests for Quotation via Machine Learning Technqiues;Tourism and Hospitality Management;29;1;25-43;2023;https://doi.org/10.20867/thm.29.1.3
0;Andrea Janes, Xiaozhou Li, \& Valentina Lenarduzzi;Open Tracing Tools: Overview and Critical Comparison;Journal of Systems and Software;;;(in press);2023;
